FechaVenta,PredictedSales
2025-01-01,6198299.1201
2025-01-02,6198299.1201
2025-01-03,10435349.920500001
2025-01-04,7390320.2955
2025-01-05,5711730.288
2025-01-06,5842250.013
2025-01-07,6357342.4725
2025-01-08,6357342.4725
2025-01-09,6357342.4725
2025-01-10,7549363.5975
2025-01-11,7549363.5975
2025-01-12,5870773.6395
2025-01-13,5968786.75995
2025-01-14,6575254.611
2025-01-15,6575254.611
2025-01-16,6575254.611
2025-01-17,7767275.715
2025-01-18,7767275.715
2025-01-19,6088685.7345
2025-01-20,6139917.492
2025-01-21,6749269.6785
2025-01-22,6749269.6785
2025-01-23,6749269.6785
2025-01-24,7941290.9055
2025-01-25,7946493.3255
2025-01-26,6259816.431
2025-01-27,6265492.938
2025-01-28,6878988.513
2025-01-29,6878988.513
2025-01-30,6878988.513
2025-01-31,11216397.3255
2025-02-01,8077683.309
2025-02-02,6388543.908
2025-02-03,6303833.976
2025-02-04,7041964.791
2025-02-05,7041964.791
2025-02-06,7041964.791
2025-02-07,8265683.1915
2025-02-08,8265683.1915
2025-02-09,6626606.6835
2025-02-10,6504873.03
2025-02-11,7242022.554
2025-02-12,7242022.554
2025-02-13,7244508.024
2025-02-14,8420465.967
2025-02-15,8631253.782
2025-02-16,6965876.091
2025-02-17,6842518.6305
2025-02-18,7579668.1185
2025-02-19,7579668.1185
2025-02-20,7707394.3455
2025-02-21,8883352.326
2025-02-22,8883352.326
2025-02-23,7154342.997
2025-02-24,7180694.9085
2025-02-25,7926653.838
2025-02-26,7926653.838
2025-02-27,7926653.838
2025-02-28,9102611.9025
2025-03-01,9118942.8675
2025-03-02,7316493.573
2025-03-03,7211548.4835
2025-03-04,7959119.6415
2025-03-05,10611792.699
2025-03-06,7959119.6415
2025-03-07,9135077.667
2025-03-08,9135077.667
2025-03-09,7547228.2275
2025-03-10,7440253.722
2025-03-11,8187824.9265
2025-03-12,8187824.9265
2025-03-13,8187824.9265
2025-03-14,9363782.8335
2025-03-15,9421362.3135
2025-03-16,7618913.13
2025-03-17,7532897.205
2025-03-18,8279630.7705
2025-03-19,11279468.6865
2025-03-20,8396673.306
2025-03-21,9547666.493999999
2025-03-22,9547666.493999999
2025-03-23,7623727.5165
2025-03-24,7537077.921
2025-03-25,11325395.259
2025-03-26,8455764.8775
2025-03-27,8455764.8775
2025-03-28,9677389.1175
2025-03-29,9677389.1175
2025-03-30,7777430.7
2025-03-31,7759851.126
2025-04-01,8601285.4905
2025-04-02,8601285.4905
2025-04-03,8601285.4905
2025-04-04,9822909.7635
2025-04-05,9822909.7635
2025-04-06,7873557.9195
2025-04-07,7835368.935
2025-04-08,8676803.226
2025-04-09,8686529.9955
2025-04-10,8686529.9955
2025-04-11,9908154.294
2025-04-12,9908154.294
2025-04-13,7945028.3415
2025-04-14,7899219.9465
2025-04-15,8740654.407
2025-04-16,8740654.407
2025-04-17,8740654.407
2025-04-18,9969898.14
2025-04-19,9969898.14
2025-04-20,7945028.3415
2025-04-21,10520993.601
2025-04-22,8752441.5915
2025-04-23,8752441.5915
2025-04-24,8752441.5915
2025-04-25,9981685.1175
2025-04-26,9981685.1175
2025-04-27,7956815.3895
2025-04-28,7911007.1475
2025-04-29,8752441.5915
2025-04-30,8752441.5915
2025-05-01,11776991.618999999
2025-05-02,9981685.1175
2025-05-03,9981685.1175
2025-05-04,10724053.734000001
2025-05-05,7911007.1475
2025-05-06,8752441.5915
2025-05-07,11776991.618999999
2025-05-08,8752441.5915
2025-05-09,9965611.056
2025-05-10,9965611.056
2025-05-11,7940741.4495
2025-05-12,7894933.0035
2025-05-13,8736367.4985
2025-05-14,8736367.4985
2025-05-15,8736367.4985
2025-05-16,9965611.056
2025-05-17,9965611.056
2025-05-18,7940741.4495
2025-05-19,7858985.6235
2025-05-20,8700420.1095
2025-05-21,8700420.1095
2025-05-22,8700420.1095
2025-05-23,9882866.526
2025-05-24,9882866.526
2025-05-25,7857996.7785
2025-05-26,7841660.8905
2025-05-27,8627226.129
2025-05-28,8627226.129
2025-05-29,8592881.0565
2025-05-30,9751715.067
2025-05-31,9751715.067
2025-06-01,7733870.0415
2025-06-02,7717419.6435
2025-06-03,8491950.091500001
2025-06-04,8491950.091500001
2025-06-05,8491950.091500001
2025-06-06,9644830.218
2025-06-07,9644830.218
2025-06-08,7636401.1095
2025-06-09,7626356.0175
2025-06-10,8367574.2945
2025-06-11,8260975.2345
2025-06-12,8260975.2345
2025-06-13,9519938.505
2025-06-14,9519938.505
2025-06-15,7429204.122
2025-06-16,7471945.851
2025-06-17,8231611.6725
2025-06-18,8231611.6725
2025-06-19,8186377.9575000005
2025-06-20,12323054.8995
2025-06-21,9331868.763
2025-06-22,7387933.272
2025-06-23,7419015.156
2025-06-24,8164417.7355
